resName1,PDB Classification,Uniprot Acc
MG,ISOMERASE,A0A1K2FZ20
MG,ISOMERASE,A0A1K2FZ20
MN,ISOMERASE,P24300
MG,OXIDOREDUCTASE,Q2YUF3
MG,OXIDOREDUCTASE,Q57179
MN,HYDROLASE,P62137
ZN,Hydrolase/Isomerase/Calcium Binding,Q4WUR1
ZN,HYDROLASE, 3.1.1.3"
ZN,HYDROLASE, 3.1.1.3"
ZN,HYDROLASE, 3.1.1.3"
ZN,HYDROLASE, 3.1.1.3"
ZN,HYDROLASE, 3.1.1.3"
CU,OXIDOREDUCTASE,Q8ZWA8
CU,OXIDOREDUCTASE,Q8ZWA8
CU,HYDROLASE, 4.3.2.5"
ZN,IMMUNE SYSTEM,P21589
MG,TRANSFERASE,B3ECE3
MG,TRANSFERASE,B3ECE3
NI,OXIDOREDUCTASE,Q6B0I6
MN,OXIDOREDUCTASE/INHIBITOR,P29375
ZN,OXIDOREDUCTASE,Q6B0I6
ZN,OXIDOREDUCTASE,O75164
MN,OXIDOREDUCTASE,"1.14.11.-
ZN,OXIDOREDUCTASE,"1.14.11.-
ZN,OXIDOREDUCTASE,"1.14.11.-
NI,OXIDOREDUCTASE,O75164
NI,OXIDOREDUCTASE,Q6EZB3
MG,TRANSFERASE,P21964
MN,OXIDOREDUCTASE, 3.4.-.-"
MG,TRANSFERASE,G7L3W1
MG,TRANSFERASE,P31153
MG,TRANSFERASE,B2NE58
MG,TRANSFERASE,P23686
MG,HYDROLASE,3.1.3.-
FE,HYDROLASE,F6MIW5
NI,HYDROLASE,P41020
MN,LYASE/INHIBITOR,4.1.1.32
MN,LYASE/INHIBITOR,4.1.1.32
MG,HYDROLASE,Q6DDT4
MG,HYDROLASE,P78330
MN,OXIDOREDUCTASE,P83310
MN,OXIDOREDUCTASE,1.14.11.-
MG,TRANSFERASE,Q9NP87
MN,HYDROLASE,P50579
MG,TRANSCRIPTION,P0ADG4
MN,HYDROLASE, 3.1.3.94"
MG,LIGASE,Q5SHZ3
ZN,HYDROLASE,P15085
ZN,HYDROLASE,P29068
ZN,HYDROLASE/INHIBITOR,P09955
ZN,HYDROLASE/INHIBITOR,P09955
ZN,HYDROLASE/INHIBITOR,P09955
ZN,HYDROLASE/INHIBITOR,P09955
MG,TRANSFERASE,A0A0A0RDR2
MG,LYASE, 4.1.3.30"
MG,LYASE, 4.1.3.30"
ZN,OXIDOREDUCTASE,A0A3B6UEU3
MG,HYDROLASE,B0BA40
ZN,HYDROLASE,P00800
MG,HYDROLASE,O69787
CU,OXIDOREDUCTASE,1.10.3.1
MG,ANTIBIOTIC,Q7BNC2
MG,LIGASE, 6.1.1.6"
ZN,HYDROLASE,P08473
ZN,HYDROLASE, 3.4.11.10"
MG,HYDROLASE, variant 3"
ZN,HYDROLASE,
ZN,HYDROLASE,A6TBN1
MG,HYDROLASE,
ZN,TRANSFERASE,Q5NI77
MG,TRANSFERASE,B9ZW32
MG,TRANSFERASE,B9ZW32
ZN,TRANSFERASE,Q5NI77
FE,OXIDOREDUCTASE, extradiol protein"
FE,OXIDOREDUCTASE,A0A452CSW8
MG,TRANSFERASE,P9WPQ5
CU,OXIDOREDUCTASE,Q2T7K1
MN,HYDROLASE,A0A1S7QSB2
MG,SUGAR BINDING PROTEIN,Q8VNN2
MG,HYDROLASE,P00722
CU,OXIDOREDUCTASE,B2ZB02
ZN,TRANSFERASE,Q8ZXN7
ZN,TRANSFERASE,Q8ZXN7
FE,TRANSFERASE,Q8ZXN7
MG,TRANSFERASE,Q9HW72
MG,TRANSFERASE,P14618
MG,TRANSFERASE,P12928
ZN,LYASE,Q0QC76
MG,"SIGNALING PROTEIN,2.7.10.2
MG,TRANSFERASE,"2.7.11.1
FE,oxidoreductase/inhibitor,
MG,LYASE,A0A3B6UEX0
MG,HYDROLASE,A0A098D3M4
ZN,OXIDOREDUCTASE,P0A9S5
MG,TRANSFERASE,"2.5.1.15
MG,LIGASE,
ZN,MEMBRANE PROTEIN,Q15465
ZN,SIGNALING PROTEIN,Q15465
MG,LYASE, 4.2.99.18"
MG,LYASE/LYASE inhibitor,P9WK17
ZN,ISOMERASE,P25081
ZN,HYDROLASE,P39900
MG,HYDROLASE,Q7LYV2
MG,ISOMERASE,P71447
ZN,DNA BINDING PROTEIN,P9WQ13
MG,LIGASE,B7GV74
MN,LYASE,P22259
ZN,HYDROLASE,A0A2N7KUA1
ZN,SIGNALING PROTEIN,A4TVL0
MG,PEPTIDE BINDING PROTEIN,O43719
MG,PEPTIDE BINDING PROTEIN,P31947
MG,PROTEIN BINDING,P31947
CU,METAL BINDING PROTEIN,Q9X1H0
CU,METAL BINDING PROTEIN,Q9X1H0
ZN,MEMBRANE PROTEIN,
ZN,MEMBRANE PROTEIN,P19491
ZN,MEMBRANE PROTEIN,P19491
MG,CHAPERONE,Q2FV63
ZN,TRANSPORT PROTEIN,A0A1S2VYK0
ZN,TRANSPORT PROTEIN,A0A1S2VYK0
ZN,DNA BINDING PROTEIN,O67518
ZN,DNA BINDING PROTEIN,O67518
ZN,TRANSCRIPTION,
MG,CHAPERONE,A0A0M1WEU8
MG,RNA BINDING PROTEIN,Q5VTE6
ZN,UNKNOWN FUNCTION,A0A1D1UN89
ZN,DNA BINDING PROTEIN,Q9H040
ZN,DNA BINDING PROTEIN,Q9H040
CU1,METAL BINDING PROTEIN,Q9X8F4
FE,TRANSPORT PROTEIN,
FE,STRUCTURAL PROTEIN,Q9HVA8
ZN,RNA BINDING PROTEIN,O43809
MG,CHAPERONE,P33313
ZN,UNKNOWN FUNCTION,A0A0E3CPJ0
MG,TRANSPORT PROTEIN,O50271
ZN,TRANSPORT PROTEIN,O50260
ZN,TRANSPORT PROTEIN,O50260
ZN,TRANSPORT PROTEIN,O50260
ZN,TRANSPORT PROTEIN,O50260
MG,SIGNALING PROTEIN,Q2YY03
MN,SIGNALING PROTEIN,A0A0H2UQ68
ZN,ELECTRON TRANSPORT,Q58M74
FES,ELECTRON TRANSPORT,
FES,ELECTRON TRANSPORT,P0A3C9
ZN,PROTEIN TRANSPORT,
ZN,PROTEIN TRANSPORT,
ZN,PROTEIN TRANSPORT,
ZN,PROTEIN TRANSPORT,
ZN,PROTEIN TRANSPORT,
ZN,PROTEIN TRANSPORT,
ZN,PROTEIN TRANSPORT,
ZN,PROTEIN TRANSPORT,
ZN,PROTEIN TRANSPORT,
ZN,PROTEIN TRANSPORT,
ZN,PROTEIN TRANSPORT,
ZN,PROTEIN TRANSPORT,
ZN,PROTEIN TRANSPORT,
ZN,VIRAL PROTEIN,Mastermind-like protein 1"
MG,SUGAR BINDING PROTEIN,P19576
MG,SUGAR BINDING PROTEIN,P19576
NI,PROTEIN BINDING,Q8GQ50
ZN,PROTEIN BINDING,A0A1V3WIE5
ZN,PROTEIN BINDING,A0A1V3WIE5
CU,ELECTRON TRANSPORT,P00282
FE2,BIOSYNTHETIC PROTEIN,A0A124H109
ZN,TRANSLATION,Q97VU8
MG,MOTOR PROTEIN,A0A073HR60
CO,CELL ADHESION,B4EV65
ZN,PEPTIDE BINDING PROTEIN,Q47QT5
ZN,PEPTIDE BINDING PROTEIN,Q47QT5
ZN,PEPTIDE BINDING PROTEIN,Q47QT5
ZN,METAL BINDING PROTEIN,A8AF35
ZN,METAL BINDING PROTEIN,A1B2F4
ZN,METAL BINDING PROTEIN,A1B2F4
MG,TRANSLATION,O43583
MG,TRANSLATION,O43583
ZN,TRANSLATION,O43583
MG,CHAPERONE,P46598
MG,TRANSCRIPTION,A0A0H3ADN9
ZN,CELL ADHESION,E4Q7C4
MG,DNA BINDING PROTEIN,D7Y2H5
NI,TOXIN,Q93UU8
ZN,VIRAL PROTEIN,Q89444
MG,UNKNOWN FUNCTION,Q5NFU2
ZN,METAL TRANSPORT,Q56952
FE2,TRANSPORT PROTEIN,Q9I174
MN,METAL BINDING PROTEIN,C6XF58
MN,TRANSPORT PROTEIN,Q9I174
ZN,IMMUNE SYSTEM,P13747
CO,IMMUNE SYSTEM,
ZN,IMMUNE SYSTEM,A0A1E1GJG5
ZN,ONCOPROTEIN,P06788
ZN,CELL CYCLE,Q8NNN6
MG,CELL CYCLE,Q8NNN6
ZN,METAL TRANSPORT,A0A1E7PHN7
CU,METAL BINDING PROTEIN,A0A4P9I8G4
ZN,BIOSYNTHETIC PROTEIN,P23184
MG,UNKNOWN FUNCTION,Q04QG8
NI,METAL BINDING PROTEIN,P04170
CO,TRANSPORT PROTEIN,Q1HRL7
CO,TRANSPORT PROTEIN,Q1HRL7
MG,TRANSPORT PROTEIN,P10121
CO,VIRAL PROTEIN,P03355
ZN,SUGAR BINDING PROTEIN,A0QT50
ZN,SUGAR BINDING PROTEIN,A0QT50
ZN,SUGAR BINDING PROTEIN,A0QT50
ZN,SUGAR BINDING PROTEIN,A0QT50
ZN,SUGAR BINDING PROTEIN,A0QT50
ZN,SUGAR BINDING PROTEIN,A0QT50
ZN,SUGAR BINDING PROTEIN,A0QT50
ZN,SIGNALING PROTEIN,
ZN,SIGNALING PROTEIN,Q13501
ZN,TRANSCRIPTION,
ZN,TRANSCRIPTION,
ZN,TRANSCRIPTION,
ZN,TRANSCRIPTION,
ZN,METAL BINDING PROTEIN,Q8DQ08
ZN,DNA BINDING PROTEIN,Q8DPL7
ZN,IMMUNE SYSTEM,A0A5C9LJ33
ZN,IMMUNE SYSTEM,A0A5C9LJ33
ZN,TRANSCRIPTION,Q9UIF8
ZN,TRANSCRIPTION,Q9UIF9
ZN,TRANSCRIPTION,Q9UIF8
ZN,APOPTOSIS,Q07820
ZN,APOPTOSIS,Q07820
ZN,APOPTOSIS,Q07820
MG,VIRAL PROTEIN,Q80J94
ZN,VIRUS LIKE PARTICLE,Q80RD6
MG,VIRAL PROTEIN,Q80J94
MG,VIRAL PROTEIN,Q80J94
CU,MEMBRANE PROTEIN,G3XD89
ZN,VIRAL PROTEIN,Q5I3C1
ZN,VIRAL PROTEIN,C6L435
ZN,VIRAL PROTEIN,C6L435
MG,TRANSCRIPTION,C5NSW6
MG,MEMBRANE PROTEIN,D6QLY0
ZN,METAL BINDING PROTEIN,Q9NWV4
ZN,TRANSCRIPTION,Q960Q9
CU1,METAL BINDING PROTEIN,A7NNM5
CU,METAL BINDING PROTEIN,C3JYL7
FE,METAL BINDING PROTEIN,Q9S529
ZN,SIGNALING PROTEIN,Q9S5W7
FE,SIGNALING PROTEIN,M2CWM4
MG,STRUCTURAL PROTEIN,Q63870
MG,RNA BINDING PROTEIN,A0A0S4TJL4
ZN,RNA BINDING PROTEIN,A0A0S4TJL4
MG,RNA BINDING PROTEIN,A0A0S4TJL4
ZN,METAL BINDING PROTEIN,Q2U8Y3
ZN,METAL BINDING PROTEIN,Q2U8Y3
ZN,DNA BINDING PROTEIN,Q9WYV0
ZN,BIOSYNTHETIC PROTEIN,A0A0H3JUU7
MG,BIOSYNTHETIC PROTEIN,A0A0H3JUU7
CU,UNKNOWN FUNCTION,A0A2N9BBV4
CU,UNKNOWN FUNCTION,A0A2N9BBV4
CU,METAL BINDING PROTEIN,A0A2D2CWX5
ZN,METAL BINDING PROTEIN,A0A2D2CWX5
ZN,ONCOPROTEIN,P29590
ZN,DNA BINDING PROTEIN,P23025
ZN,UNKNOWN FUNCTION,Q9RY97
ZN,UNKNOWN FUNCTION,Q9RY97
NI,BIOSYNTHETIC PROTEIN,A0A1B0VLW5
ZN,BIOSYNTHETIC PROTEIN,A0A1B0VLW5
MG,RECOMBINATION,Q75DL0
ZN,RECOMBINATION,Q74ZQ8
ZN,SIGNALING PROTEIN,Q9GZZ9
ZN,IMMUNE SYSTEM,P0DOX5
ZN,IMMUNE SYSTEM,P0DOX5
ZN,IMMUNE SYSTEM,P0DOX5
ZN,BIOSYNTHETIC PROTEIN,A0A452CSY9
MG,SUGAR BINDING PROTEIN,G4XU73
ZN,CHAPERONE,Q19007
ZN,DNA BINDING PROTEIN,Q9I3H9
ZN,RECOMBINATION,Q5SHY0
ZN,STRUCTURAL PROTEIN,A0A164TZ51
ZN,TRANSCRIPTION, Peregrin"
ZN,TRANSCRIPTION, Peregrin"
ZN,TRANSCRIPTION, Peregrin"
ZN,TRANSCRIPTION, Peregrin"
ZN,TRANSCRIPTION, Peregrin"
MG,TRANSPORT PROTEIN,P71619
MG,TRANSPORT PROTEIN,P71619
ZN,METAL BINDING PROTEIN,O60232
ZN,PEPTIDE BINDING PROTEIN,G0S1N3
MG,STRUCTURAL PROTEIN,P19827
MG,VIRUS,Q8IZA0
MG,SUGAR BINDING PROTEIN,A7LY27
ZN,DNA BINDING PROTEIN,I6X7F9
MG,SIGNALING PROTEIN,Q6MLN6
ZN,DNA BINDING PROTEIN,Q8U0N5
ZN,DNA BINDING PROTEIN,Q8U0N5
ZN,VIRAL PROTEIN,J9XNG9
ZN,VIRAL PROTEIN,J9XNG9
ZN,VIRAL PROTEIN,J9XNG9
ZN,METAL BINDING PROTEIN,P15498
MN,TRANSCRIPTION,Q9K943
ZN,DNA BINDING PROTEIN,P04150
ZN,DNA BINDING PROTEIN,P04150
FE,METAL BINDING PROTEIN,G2LET6
ZN,ANTIVIRAL PROTEIN,Q7Z2W4
ZN,ANTIVIRAL PROTEIN,Q7Z2W4
ZN,ANTIVIRAL PROTEIN,Q7Z2W4
ZN,ANTIVIRAL PROTEIN,Q7Z2W4
ZN,PROTEIN BINDING,G0S0B4
ZN,PROTEIN BINDING,G0S0B4
ZN,CELL CYCLE,O15392
ZN,UNKNOWN FUNCTION,Q81XH9
CU1,METAL BINDING PROTEIN,
NI,MEMBRANE PROTEIN,A0A100XEC2
MG,NUCLEAR PROTEIN,Q9Y5L0
MG,SIGNALING PROTEIN,A0A0H3AFX3
MN,METAL BINDING PROTEIN,Q6I6B2
ZN,METAL TRANSPORT,Q0PBI7
MN,METAL TRANSPORT,Q0PBI7
ZN,PEPTIDE BINDING PROTEIN,Q13342
ZN,PEPTIDE BINDING PROTEIN,Q13342
ZN,TRANSCRIPTION,P23497
ZN,TRANSCRIPTION,P23497
ZN,VIRUS LIKE PARTICLE,Q7K1U0
ZN,GENE REGULATION,B9H0V2
ZN,GENE REGULATION,F4JL28
ZN,GENE REGULATION,B9H0V2
ZN,GENE REGULATION,F4JL28
ZN,viral protein/immune system,E1ANT9
ZN,GENE REGULATION,O14497
ZN,PROTEIN BINDING,O95639
ZN,TRANSCRIPTION,Q2HR75
CU,PLANT PROTEIN,Q8S4P9
CU1,BLOOD CLOTTING,"P00451
ZN,BLOOD CLOTTING,"P00451
ZN,MEMBRANE PROTEIN,G2FID1
MG,PROTEIN BINDING,Q68DU8
ZN,DNA BINDING PROTEIN,Q8NA31
ZN,MEMBRANE PROTEIN,Q64663
MG,IMMUNE SYSTEM,Q91132
NI,CELL ADHESION,Q8TAB3
ZN,SIGNALING PROTEIN,P48059
ZN,SIGNALING PROTEIN,P48059
ZN,RNA BINDING PROTEIN,Q9XUB2
ZN,METAL BINDING PROTEIN,P33187
ZN,CELL ADHESION,P49023
ZN,CELL ADHESION,P49023
ZN,VIRAL PROTEIN,P03126
MG,PLANT PROTEIN,Q9SXZ2
MG,SIGNALING PROTEIN,Q8DLC7
MG,SIGNALING PROTEIN,Q8DLC7
ZN,CELL CYCLE,P0CI74
ZN,METAL BINDING PROTEIN,P19909
ZN,TRANSCRIPTION,O15016
ZN,TRANSCRIPTION,O15016
ZN,DNA BINDING PROTEIN,P04637
ZN,CHAPERONE,P77754
ZN,UNKNOWN FUNCTION,B2J0I0
MG,IMMUNE SYSTEM,P06683
ZN,IMMUNE SYSTEM,P06683
MN,TRANSCRIPTION,Q03456
ZN,MEMBRANE PROTEIN,W1ELP7
ZN,MEMBRANE PROTEIN,W1ELP7
ZN,MEMBRANE PROTEIN,W1ELP7
ZN,MEMBRANE PROTEIN,W1ELP7
ZN,MEMBRANE PROTEIN,W1ELP7
ZN,MEMBRANE PROTEIN,W1ELP7
ZN,SIGNALING PROTEIN,Rubredoxin
MG,ELECTRON TRANSPORT,P0ABE7
MG,TRANSCRIPTION,Q09161
ZN,CELL ADHESION,
ZN,CELL ADHESION,
MG,CELL ADHESION,"P05106
MN,CELL ADHESION,P05106
MN,CELL ADHESION,P05106
MG,Cell Adhesion/Immune System,P05106
MG,IMMUNE SYSTEM,P26012
MN,CELL ADHESION,P05106
MG,VIRUS,Q9H6X2
MG,TRANSPORT PROTEIN,P02769
MG,STRUCTURAL PROTEIN,A0A0B4W229
ZN,SIGNALING PROTEIN,Q96SW2
MG,IMMUNE SYSTEM,Q9UGM3
MG,IMMUNE SYSTEM,Q9UGM3
MG,IMMUNE SYSTEM,Q9UGM3
CO,PROTEIN FIBRIL,H6VRG1
MN,TRANSCRIPTION,I6Y1Q2
MN,DNA BINDING PROTEIN,A0A0H2UTK0
MN,TRANSCRIPTION,I6Y1Q2
ZN,DNA BINDING PROTEIN,Q9L0M9
ZN,METAL BINDING PROTEIN,J2EKT7
ZN,UNKNOWN FUNCTION,A5A677
ZN,GENE REGULATION,A2RNS2
MG,METAL TRANSPORT,
MG,METAL TRANSPORT,
MG,METAL TRANSPORT,
ZN,UNKNOWN FUNCTION,A0A383R4X5
CO,PROTEIN BINDING,Q8DKB5
MN,SUGAR BINDING PROTEIN,P02866
ZN,MEMBRANE PROTEIN,P0CL67
MG,TRANSPORT PROTEIN,Q5H8A6
ZN,ENDOCYTOSIS,Q15811
FE,METAL BINDING PROTEIN,A0A0F5HNH9
ZN,UNKNOWN FUNCTION,A0QTY3
MOO,METAL BINDING PROTEIN,P84308
CO,HORMONE,P01308
MG,DNA BINDING PROTEIN,Q2YY03
MG,CYTOSOLIC PROTEIN,Q94707
MN,TOXIN,C4SH25
FE2,METAL BINDING PROTEIN,A0A3F2YLV4
ZN,TRANSPORT PROTEIN,A0A0H2UN92
ZN,TRANSPORT PROTEIN,A0A0H2UN92
ZN,TRANSPORT PROTEIN,A0A0H2UN92
ZN,TRANSPORT PROTEIN,A0A0H2UN92
ZN,RNA BINDING PROTEIN,Q96AE4
MG,ELECTRON TRANSPORT,Q9F1K9
MG,ELECTRON TRANSPORT,P59087
CU,SUGAR BINDING PROTEIN,W5QLL4
NI,MEMBRANE PROTEIN,Q9I116
ZN,NUCLEAR PROTEIN,B9T8Q5
MN,TOXIN,M4NKV9
MG,TRANSPORT PROTEIN,P31827
MG,TRANSPORT PROTEIN,P31827
MG,RNA BINDING PROTEIN,G0SHI1
FE,METAL TRANSPORT,P02787
FE,METAL TRANSPORT,P02787
NI,GENE REGULATION,Q8N8U2
ZN,SIGNALING PROTEIN,Q13422
MG,TRANSCRIPTION,P0ACT4
MN,TOXIN,B7UI21
ZN,TRANSCRIPTION,O85142
ZN,ELECTRON TRANSPORT,Q8EDL6
FE,OXYGEN TRANSPORT,P68871
ZN,UNKNOWN FUNCTION,A0A3F2YM24
MG,PROTEIN FIBRIL,Q74A86
ZN,HYDROLASE,Q01693
MG,HYDROLASE,P13717
CU,METAL BINDING PROTEIN,P36649
FE,OXIDOREDUCTASE,Q9WZC6
ZN,ISOMERASE,A5YBL8
CU,OXIDOREDUCTASE,A6X5N0
ZN,HYDROLASE,Q5LLA5
CO,OXIDOREDUCTASE,P12807
ZN,HYDROLASE,P13497
ZN,HYDROLASE,Q0B6Q2
ZN,LYASE,Q3I4V7
ZN,LYASE,A0A0J9X279
CO,OXIDOREDUCTASE,P30967
CU,OXIDOREDUCTASE,A0A3F2YLU5
FE,HYDROLASE,P68826
FE,HYDROLASE,Q8ZRM2
CU,OXIDOREDUCTASE,P36649
MN,OXIDOREDUCTASE,1.13.11.15
ZN,HYDROLASE,P08254
FE,OXIDOREDUCTASE,Q47XN7
ZN,HYDROLASE,P25524
ZN,HYDROLASE,B1Q4V2
ZN,LYASE,Q8ZRS0
ZN,HYDROLASE,A0A060GSW0
ZN,ISOMERASE,P32170
ZN,HYDROLASE,P81054
ZN,RNA BINDING PROTEIN,A9CK16
MG,LYASE,P0A6P9
MG,ISOMERASE,A0QTN8
MG,LYASE,Q53635
CU,OXIDOREDUCTASE,A0A075DN54
ZN,HYDROLASE,O66990
ZN,HYDROLASE,O58727
CU,OXIDOREDUCTASE,Q96X16
ZN,HYDROLASE,P39377
ZN,TOXIN,P19321
ZN,HYDROLASE,3.4.11.9
CU,OXIDOREDUCTASE,H8ZRU2
CU,OXIDOREDUCTASE,H8ZRU2
ZN,CALCIUM-BINDING PROTEIN,P00709
ZN,ISOMERASE,P34948
CU,OXIDASE,Q6H9H7
ZN,LYASE,4.1.1.3
MG,ISOMERASE,Q13PB7
MG,ISOMERASE,Q5LM96
MG,ISOMERASE,Q834W6
ZN,LYASE,C4M5C6
FE2,ISOMERASE,Q96AT9
ZN,TRANSFERASE,P16688
MG,LYASE,Q8DJP8
MG,ISOMERASE,A6M2W4
MG,ISOMERASE,Q7L5Y1
ZN,HYDROLASE,Q84CU3
MN,HYDROLASE,P0DJQ3
ZN,LYASE,P9WPJ9
CU,OXIDOREDUCTASE,A0A0M3U1T9
FE,HYDROLASE,P25524
ZN,HYDROLASE,P13497
MG,LYASE,P11383
ZN,SERINE PROTEASE,P48052
ZN,HYDROLASE,P00733
ZN,HYDROLASE,P30996
ZN,OXIDOREDUCTASE,Q97YM2
MG,ISOMERASE,Q5NN22
MG,"STRUCTURAL GENOMICS,
MG,ISOMERASE,
MG,HYDROLASE,Q3IZQ3
ZN,HYDROLASE,Q5LMH0
ZN,HYDROLASE,A2V759
MN,HYDROLASE,Q9HXY1
MG,HYDROLASE,Q93V56
MN,HYDROLASE,Q8P839
ZN,HYDROLASE,C0HJB3
CO,ISOMERASE,P50910
ZN,LIGASE,Q7SIE4
FE,OXIDOREDUCTASE,
FE,HYDROLASE,Q4WMJ8
ZN,HYDROLASE,Q484B6
MG,HYDROLASE,Q8I914
MN,HYDROLASE,Q9RZ04
MG,HYDROLASE,P00634
ZN,LEISHMANOLYSIN,P08148
MG,LYASE,
MG,LYASE,P0AES2
ZN,HYDROLASE,P0C216
MG,LYASE,Q05514
CO,HYDROLASE,Q9RVU2
MG,LYASE,P23280
MG,LYASE,A8H9D1
MG,HYDROLASE,C1D7P6
FE,OXIDOREDUCTASE,O29903
MG,HYDROLASE,Q5JGZ3
MG,LYASE,P77541
ZN,OXIDOREDUCTASE,P00441
CU,"Oxidoreductase,
ZN,HYDROLASE,P04190
FE,OXIDOREDUCTASE,1.13.11.2
FE,HYDROLASE,Q8IJP2
MG,LYASE,Q8FHC7
FE2,OXIDOREDUCTASE,1.14.11.-
ZN,HYDROLASE,Q9KL24
MG,LYASE,4.1.1.21
ZN,PHOSPHOTRANSFERASE,P69783
ZN,HYDROLASE,P9WPH3
MG,ISOMERASE,A6DZ31
ZN,HYDROLASE,P81535
MG,TRANSFERASE,Q02059
MG,ISOMERASE,O58651
ZN,OXIDOREDUCTASE,O49482
ZN,LIGASE,Q2K340
MN,HYDROLASE,Q9I3S3
CU,OXIDOREDUCTASE,B2ZB02
FE,OXIDOREDUCTASE,P9WKZ1
FE,OXIDOREDUCTASE,V6TJK7
FE,OXIDOREDUCTASE,1.13.11.1
MN,LYASE,O34714
CU,OXIDOREDUCTASE,P14925
ZN,LYASE,P0AB71
CO,HYDROLASE,P9WK19
MG,TRANSFERASE,P53355
MG,ISOMERASE,Q92ZS5
ZN,HYDROLASE,P68398
MN,OXIDOREDUCTASE,G4NAP4
ZN,OXIDOREDUCTASE,A0A1C7D193
MN,HYDROLASE,Q9I6K2
ZN,HYDROLASE,P35559
FE2,OXIDOREDUCTASE,P09186
ZN,LIGASE,O57921
ZN,HYDROLASE,B5L5V5
MG,OXIDOREDUCTASE,B1YQF4
MG,HYDROLASE, 3.1.7.8"
MG,ISOMERASE,P56839
ZN,HYDROLASE,Q12567
MG,LYASE,A0A0D4WV12
ZN,HYDROLASE,Q07075
MG,LYASE,4.1.3.32
FE,HYDROLASE,Q8SR45
ZN,LYASE,Q43060
CU,OXIDOREDUCTASE,Q43077
ZN,HYDROLASE(ACTING ON LINEAR AMIDES),P00806
ZN,HYDROLASE,Q5SHV7
MG,HYDROLASE INHIBITOR/HYDROLASE,Q7JXB9
